BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate,extraction_date
1,295847284,adventure-works\ken0,,,Chief Executive Officer,1969-01-29,S,M,2009-01-14,true,99,69,true,F01251E5-96A3-448D-981E-0F99D789110D,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
2,245797967,adventure-works\terri0,[58],1,Vice President of Engineering,1971-08-01,S,F,2008-01-31,true,1,20,true,45E8F437-670D-4409-93CB-F9424A40D6EE,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
3,509647174,adventure-works\roberto0,[5A C0],2,Engineering Manager,1974-11-12,M,M,2007-11-11,true,2,21,true,9BBBFB2C-EFBB-4217-9AB7-F97689328841,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
4,112457891,adventure-works\rob0,[5A D6],3,Senior Tool Designer,1974-12-23,S,M,2007-12-05,false,48,80,true,59747955-87B8-443F-8ED4-F8AD3AFDF3A9,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
5,695256908,adventure-works\gail0,[5A DA],3,Design Engineer,1952-09-27,M,F,2008-01-06,true,5,22,true,EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
6,998320692,adventure-works\jossef0,[5A DE],3,Design Engineer,1959-03-11,M,M,2008-01-24,true,6,23,true,E39056F1-9CD5-478D-8945-14ACA7FBDCDD,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
7,134969118,adventure-works\dylan0,[5A E1],3,Research and Development Manager,1987-02-24,M,M,2009-02-08,true,61,50,true,4F46DECA-EF01-41FD-9829-0ADAB368E431,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
8,811994146,adventure-works\diane1,[5A E1 58],4,Research and Development Engineer,1986-06-05,S,F,2008-12-29,true,62,51,true,31112635-663B-4018-B4A2-A685C0BF48A4,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
9,658797903,adventure-works\gigi0,[5A E1 68],4,Research and Development Engineer,1979-01-21,M,F,2009-01-16,true,63,51,true,50B6CDC6-7570-47EF-9570-48A64B5F2ECF,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
10,879342154,adventure-works\michael6,[5A E1 78],4,Research and Development Manager,1984-11-30,M,M,2009-05-03,true,16,64,true,EAA43680-5571-40CB-AB1A-3BF68F04459E,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
11,974026903,adventure-works\ovidiu0,[5A E3],3,Senior Tool Designer,1978-01-17,S,M,2010-12-05,false,7,23,true,F68C7C19-FAC1-438C-9BB7-AC33FCC341C3,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
12,480168528,adventure-works\thierry0,[5A E3 58],4,Tool Designer,1959-07-29,M,M,2007-12-11,false,9,24,true,1D955171-E773-4FAD-8382-40FD898D5D4D,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
13,486228782,adventure-works\janice0,[5A E3 68],4,Tool Designer,1989-05-28,M,F,2010-12-23,false,8,24,true,954B91B6-5AA7-48C2-8685-6E11C6E5C49A,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
14,42487730,adventure-works\michael8,[5A E5],3,Senior Design Engineer,1979-06-16,S,M,2010-12-30,true,3,21,true,46286CA4-46DD-4DDB-9128-85B67E98D1A9,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
15,56920285,adventure-works\sharon0,[5A E7],3,Design Engineer,1961-05-02,M,F,2011-01-18,true,4,22,true,54F2FDC0-87C4-4065-A7A8-9AC8EA624235,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
16,24756624,adventure-works\david0,[68],1,Marketing Manager,1975-03-19,S,M,2007-12-20,true,40,40,true,E87029AA-2CBA-4C03-B948-D83AF0313E28,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
17,253022876,adventure-works\kevin0,[6A C0],2,Marketing Assistant,1987-05-03,S,M,2007-01-26,false,42,41,true,1B480240-95C0-410F-A717-EB29943C8886,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
18,222969461,adventure-works\john5,[6B 40],2,Marketing Specialist,1978-03-06,S,M,2011-02-07,false,48,44,true,64730415-1F58-4E5B-8FA8-5E4DAEBA53B4,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
19,52541318,adventure-works\mary2,[6B C0],2,Marketing Assistant,1978-01-29,S,F,2011-02-14,false,43,41,true,1F6DA901-C7F7-48A8-8EEF-D81868D72B52,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
20,323403273,adventure-works\wanida0,[6C 20],2,Marketing Assistant,1975-03-17,M,F,2011-01-07,false,41,40,true,43CCA446-DA1C-454C-8530-873AD2923E1B,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
21,243322160,adventure-works\terry0,[6C 60],2,Marketing Specialist,1986-02-04,M,M,2009-03-02,false,44,42,true,AD0D7626-4506-45C4-898F-9D7A0E13AABD,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
22,95958330,adventure-works\sariya0,[6C A0],2,Marketing Specialist,1987-05-21,S,M,2008-12-12,false,45,42,true,AF21F1B7-0691-48AD-B325-B8F2D7B2268A,2014-06-30T00:00:00.000Z,2025-04-24T15:09:33.120Z
